"human_gene_id"	"mouse_gene_id"	"human_symbol"	"mouse_symbol"	"orthology_source"
"ENSG00000115159"	"ENSMUSG00000026827"	"GPD2"	"Gpd2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000198551"	"ENSMUSG00000074472"	"ZNF627"	"Zfp872"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000095321"	"ENSMUSG00000026853"	"CRAT"	"Crat"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000165379"	"ENSMUSG00000035653"	"LRFN5"	"Lrfn5"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000124596"	"ENSMUSG00000040771"	"OARD1"	"Oard1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000185650"	"ENSMUSG00000021127"	"ZFP36L1"	"Zfp36l1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000176209"	"ENSMUSG00000031534"	"SMIM19"	"Smim19"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000099821"	"ENSMUSG00000020329"	"POLRMT"	"Polrmt"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000176473"	"ENSMUSG00000040877"	"WDR25"	"Wdr25"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000110245"	"ENSMUSG00000032081"	"APOC3"	"Apoc3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000166924"	"ENSMUSG00000045348"	"NYAP1"	"Nyap1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000028528"	"ENSMUSG00000032382"	"SNX1"	"Snx1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000064313"	"ENSMUSG00000037343"	"TAF2"	"Taf2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000163728"	"ENSMUSG00000027677"	"TTC14"	"Ttc14"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000081181"	"ENSMUSG00000021125"	"ARG2"	"Arg2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000198060"	"ENSMUSG00000023307"	"MARCHF5"	"Marchf5"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000137161"	"ENSMUSG00000023973"	"CNPY3"	"Cnpy3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000180185"	"ENSMUSG00000045316"	"FAHD1"	"Fahd1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000129250"	"ENSMUSG00000020821"	"KIF1C"	"Kif1c"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000172530"	"ENSMUSG00000025316"	"BANP"	"Banp"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000165731"	"ENSMUSG00000030110"	"RET"	"Ret"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000129493"	"ENSMUSG00000035181"	"HEATR5A"	"Heatr5a"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000107362"	"ENSMUSG00000047368"	"ABHD17B"	"Abhd17b"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000118418"	"ENSMUSG00000066456"	"HMGN3"	"Hmgn3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000160695"	"ENSMUSG00000032127"	"VPS11"	"Vps11"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000105835"	"ENSMUSG00000020572"	"NAMPT"	"Nampt"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000125484"	"ENSMUSG00000035666"	"GTF3C4"	"Gtf3c4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000164292"	"ENSMUSG00000021589"	"RHOBTB3"	"Rhobtb3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000165669"	"ENSMUSG00000057858"	"FAM204A"	"Fam204a"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000123975"	"ENSMUSG00000062248"	"CKS2"	"Cks2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000105849"	"ENSMUSG00000020561"	"POLR1F"	"Polr1f"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000203485"	"ENSMUSG00000037679"	"INF2"	"Inf2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000156804"	"ENSMUSG00000022358"	"FBXO32"	"Fbxo32"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000121691"	"ENSMUSG00000027187"	"CAT"	"Cat"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000182389"	"ENSMUSG00000017412"	"CACNB4"	"Cacnb4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000163808"	"ENSMUSG00000036768"	"KIF15"	"Kif15"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000008277"	"ENSMUSG00000040537"	"ADAM22"	"Adam22"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000033800"	"ENSMUSG00000032405"	"PIAS1"	"Pias1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000147586"	"ENSMUSG00000040269"	"MRPS28"	"Mrps28"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000213563"	"ENSMUSG00000116138"	"C8orf82"	"C030006K11Rik"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000121410"	"ENSMUSG00000022347"	"A1BG"	"A1bg"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000147684"	"ENSMUSG00000022354"	"NDUFB9"	"Ndufb9"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000126243"	"ENSMUSG00000036957"	"LRFN3"	"Lrfn3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000092871"	"ENSMUSG00000020696"	"RFFL"	"Rffl"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000125746"	"ENSMUSG00000040811"	"EML2"	"Eml2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000119977"	"ENSMUSG00000025008"	"TCTN3"	"Tctn3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000145901"	"ENSMUSG00000020400"	"TNIP1"	"Tnip1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000149089"	"ENSMUSG00000010911"	"APIP"	"Apip"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000188778"	"ENSMUSG00000031489"	"ADRB3"	"Adrb3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000137869"	"ENSMUSG00000032274"	"CYP19A1"	"Cyp19a1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000175785"	"ENSMUSG00000041669"	"PRIMA1"	"Prima1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000186918"	"ENSMUSG00000034522"	"ZNF395"	"Zfp395"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000111907"	"ENSMUSG00000000296"	"TPD52L1"	"Tpd52l1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000135124"	"ENSMUSG00000029470"	"P2RX4"	"P2rx4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000139988"	"ENSMUSG00000021123"	"RDH12"	"Rdh12"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000139926"	"ENSMUSG00000048285"	"FRMD6"	"Frmd6"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000164985"	"ENSMUSG00000028484"	"PSIP1"	"Psip1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000163888"	"ENSMUSG00000051146"	"CAMK2N2"	"Camk2n2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000141027"	"ENSMUSG00000018501"	"NCOR1"	"Ncor1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000122859"	"ENSMUSG00000044312"	"NEUROG3"	"Neurog3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000186862"	"ENSMUSG00000074818"	"PDZD7"	"Pdzd7"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000137411"	"ENSMUSG00000038838"	"VARS2"	"Vars2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000085733"	"ENSMUSG00000031078"	"CTTN"	"Cttn"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000105085"	"ENSMUSG00000045248"	"MED26"	"Med26"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000062524"	"ENSMUSG00000027297"	"LTK"	"Ltk"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000108176"	"ENSMUSG00000036764"	"DNAJC12"	"Dnajc12"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000105767"	"ENSMUSG00000054793"	"CADM4"	"Cadm4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000152601"	"ENSMUSG00000027763"	"MBNL1"	"Mbnl1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000130479"	"ENSMUSG00000019261"	"MAP1S"	"Map1s"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000159753"	"ENSMUSG00000050357"	"CARMIL2"	"Carmil2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000169813"	"ENSMUSG00000042079"	"HNRNPF"	"Hnrnpf"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000205111"	"ENSMUSG00000033966"	"CDKL4"	"Cdkl4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000102893"	"ENSMUSG00000036879"	"PHKB"	"Phkb"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000144191"	"ENSMUSG00000026114"	"CNGA3"	"Cnga3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000183208"	"ENSMUSG00000050973"	"GDPGP1"	"Gdpgp1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000171119"	"ENSMUSG00000039481"	"NRTN"	"Nrtn"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000100902"	"ENSMUSG00000021024"	"PSMA6"	"Psma6"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000262874"	"ENSMUSG00000118553"	"C19orf84"	"Gm38999"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000166821"	"ENSMUSG00000030545"	"PEX11A"	"Pex11a"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000090263"	"ENSMUSG00000029918"	"MRPS33"	"Mrps33"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000128463"	"ENSMUSG00000027131"	"EMC4"	"Emc4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000173744"	"ENSMUSG00000026159"	"AGFG1"	"Agfg1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000118307"	"ENSMUSG00000043541"	"DNAI7"	"Dnai7"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000095059"	"ENSMUSG00000060038"	"DHPS"	"Dhps"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000005108"	"ENSMUSG00000032625"	"THSD7A"	"Thsd7a"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000150760"	"ENSMUSG00000058325"	"DOCK1"	"Dock1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000161544"	"ENSMUSG00000020810"	"CYGB"	"Cygb"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000119899"	"ENSMUSG00000049624"	"SLC17A5"	"Slc17a5"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000131746"	"ENSMUSG00000017607"	"TNS4"	"Tns4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000283267"	"ENSMUSG00000073234"	"FAM237B"	"Fam237b"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000185634"	"ENSMUSG00000035109"	"SHC4"	"Shc4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000160360"	"ENSMUSG00000026930"	"GPSM1"	"Gpsm1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000106268"	"ENSMUSG00000036639"	"NUDT1"	"Nudt1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000184384"	"ENSMUSG00000031925"	"MAML2"	"Maml2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000173894"	"ENSMUSG00000025577"	"CBX2"	"Cbx2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000137710"	"ENSMUSG00000032050"	"RDX"	"Rdx"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000141219"	"ENSMUSG00000041623"	"MTNAP1"	"Mtnap1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000100526"	"ENSMUSG00000037628"	"CDKN3"	"Cdkn3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000137309"	"ENSMUSG00000046711"	"HMGA1"	"Hmga1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000166920"	"ENSMUSG00000033213"	"COXFA4L3"	"AA467197"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000159248"	"ENSMUSG00000068615"	"GJD2"	"Gjd2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000187446"	"ENSMUSG00000014077"	"CHP1"	"Chp1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000175874"	"ENSMUSG00000050967"	"CREG2"	"Creg2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000169902"	"ENSMUSG00000034118"	"TPST1"	"Tpst1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000160404"	"ENSMUSG00000009563"	"TOR2A"	"Tor2a"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000163577"	"ENSMUSG00000050192"	"EIF5A2"	"Eif5a2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000135679"	"ENSMUSG00000020184"	"MDM2"	"Mdm2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000153310"	"ENSMUSG00000022378"	"CYRIB"	"Cyrib"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000185614"	"ENSMUSG00000042106"	"INKA1"	"Inka1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000105705"	"ENSMUSG00000011306"	"SUGP1"	"Sugp1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000173702"	"ENSMUSG00000022824"	"MUC13"	"Muc13"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000166450"	"ENSMUSG00000036030"	"PRTG"	"Prtg"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000120160"	"ENSMUSG00000028575"	"EQTN"	"Eqtn"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000141696"	"ENSMUSG00000006931"	"P3H4"	"P3h4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000148346"	"ENSMUSG00000026822"	"LCN2"	"Lcn2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000104043"	"ENSMUSG00000060131"	"ATP8B4"	"Atp8b4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000114353"	"ENSMUSG00000032562"	"GNAI2"	"Gnai2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000140937"	"ENSMUSG00000031673"	"CDH11"	"Cdh11"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000119457"	"ENSMUSG00000028386"	"SLC46A2"	"Slc46a2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000106638"	"ENSMUSG00000005374"	"TBL2"	"Tbl2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000107984"	"ENSMUSG00000024868"	"DKK1"	"Dkk1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000181291"	"ENSMUSG00000020701"	"TMEM132E"	"Tmem132e"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000214530"	"ENSMUSG00000030688"	"STARD10"	"Stard10"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000137038"	"ENSMUSG00000028398"	"DMAC1"	"Dmac1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000165929"	"ENSMUSG00000021187"	"TC2N"	"Tc2n"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000107816"	"ENSMUSG00000035342"	"LZTS2"	"Lzts2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000106804"	"ENSMUSG00000026874"	"C5"	"Hc"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000132530"	"ENSMUSG00000040483"	"XAF1"	"Xaf1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000118514"	"ENSMUSG00000037542"	"ALDH8A1"	"Aldh8a1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000135945"	"ENSMUSG00000026082"	"REV1"	"Rev1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000083123"	"ENSMUSG00000032263"	"BCKDHB"	"Bckdhb"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000103811"	"ENSMUSG00000032359"	"CTSH"	"Ctsh"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000108055"	"ENSMUSG00000024974"	"SMC3"	"Smc3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000091972"	"ENSMUSG00000022661"	"CD200"	"Cd200"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000236279"	"ENSMUSG00000079598"	"CLEC2L"	"Clec2l"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000087299"	"ENSMUSG00000020988"	"L2HGDH"	"L2hgdh"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000172209"	"ENSMUSG00000044067"	"GPR22"	"Gpr22"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000167916"	"ENSMUSG00000020913"	"KRT24"	"Krt24"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000051523"	"ENSMUSG00000006519"	"CYBA"	"Cyba"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000188493"	"ENSMUSG00000078786"	"ACTMAP"	"Actmap"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000184451"	"ENSMUSG00000044052"	"CCR10"	"Ccr10"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000106397"	"ENSMUSG00000004846"	"PLOD3"	"Plod3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000167895"	"ENSMUSG00000050106"	"TMC8"	"Tmc8"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000131669"	"ENSMUSG00000037966"	"NINJ1"	"Ninj1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000189058"	"ENSMUSG00000022548"	"APOD"	"Apod"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000204386"	"ENSMUSG00000007038"	"NEU1"	"Neu1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000105711"	"ENSMUSG00000019194"	"SCN1B"	"Scn1b"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000163312"	"ENSMUSG00000035266"	"HELQ"	"Helq"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000102970"	"ENSMUSG00000031780"	"CCL17"	"Ccl17"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000178573"	"ENSMUSG00000055435"	"MAF"	"Maf"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000100567"	"ENSMUSG00000060073"	"PSMA3"	"Psma3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000273079"	"ENSMUSG00000030209"	"GRIN2B"	"Grin2b"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000141101"	"ENSMUSG00000003848"	"NOB1"	"Nob1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000107249"	"ENSMUSG00000052942"	"GLIS3"	"Glis3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000167645"	"ENSMUSG00000030588"	"YIF1B"	"Yif1b"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000065970"	"ENSMUSG00000003154"	"FOXJ2"	"Foxj2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000156959"	"ENSMUSG00000042873"	"LHFPL4"	"Lhfpl4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
